text,label
illegal parking is causing trouble near hospital,illegal_activities
COMPLAINT ABOUT ELECTRIC POLE ISSUE NEAR HOSPITAL,streetlight_electrical
wire problem is causing trouble near school,streetlight_electrical
animal nuisance is causing trouble on main road!!!,stray_animals
Please fix low water pressure near market,water_supply
Issue of dog attack risk near office,stray_animals
Urgent issue: broken bench near hospital,public_property_damage
Facing illegal construction near school,illegal_activities
Complaint about illegal parking near office,illegal_activities
public property damage problem in colony,public_property_damage
illegal parking is causing trouble near hospital,illegal_activities
URGENT ISSUE: GENERAL ISSUE NEAR HOSPITAL,other
WATER SHORTAGE IS CAUSING TROUBLE NEAR MARKET,water_supply
Complaint about water shortage beside park!!!,water_supply
Issue of damaged park near bus stop,public_property_damage
COMPLAINT ABOUT ILLEGAL PARKING BESIDE PARK,illegal_activities
ELECTRIC POLE ISSUE IS CAUSING TROUBLE NEAR MARKET,streetlight_electrical
water clogging problem near market,drainage_sewage
drainage overflow is causing trouble near hospital,drainage_sewage
water clogging problem in colony,drainage_sewage
There is public property damage on main road,public_property_damage
Please fix garbage dumping near hospital!!!,garbage_waste
ISSUE OF STREET LIGHT NOT WORKING BESIDE PARK,streetlight_electrical
Issue of bad road condition in my area!!!,road_pothole
Issue of water issue near market,water_supply
cattle on road problem near office,stray_animals
Issue of misc issue near bus stop,other
URGENT ISSUE: TRASH PROBLEM IN COLONY,garbage_waste
Issue of illegal construction near school,illegal_activities
There is road damage in my area,road_pothole
Facing dog attack risk near market!!!,stray_animals
Facing wire problem in colony!!!,streetlight_electrical
Urgent issue: general issue in colony,other
There is illegal parking near market,illegal_activities
ENCROACHMENT PROBLEM NEAR SCHOOL,illegal_activities
Issue of bad road condition near bus stop!!!,road_pothole
Issue of unknown problem near hospital!!!,other
Urgent issue: low water pressure on main road!!!,water_supply
Urgent issue: traffic jam near school,traffic_roadsafety
COMPLAINT ABOUT POWER CUT IN COLONY,streetlight_electrical
Issue of dustbin not cleared near school,garbage_waste
Facing water clogging near office,drainage_sewage
There is electric pole issue near school,streetlight_electrical
Complaint about low water pressure beside park,water_supply
Urgent issue: unknown problem near market!!!,other
ROAD DAMAGE PROBLEM ON MAIN ROAD,road_pothole
Complaint about rash driving near school,traffic_roadsafety
Please fix broken bench near bus stop,public_property_damage
Complaint about illegal parking near bus stop!!!,illegal_activities
Facing trash problem near school,garbage_waste
Please fix encroachment near office,illegal_activities
Complaint about cattle on road in my area,stray_animals
Issue of water issue near market!!!,water_supply
Please fix wire problem in my area!!!,streetlight_electrical
encroachment problem near market,illegal_activities
accident risk is causing trouble in my area!!!,traffic_roadsafety
SEWAGE PROBLEM IS CAUSING TROUBLE NEAR MARKET,drainage_sewage
Facing trash problem near hospital,garbage_waste
Complaint about traffic jam on main road,traffic_roadsafety
Urgent issue: dog attack risk near hospital,stray_animals
URGENT ISSUE: GARBAGE DUMPING ON MAIN ROAD,garbage_waste
URGENT ISSUE: ROAD DAMAGE NEAR HOSPITAL,road_pothole
URGENT ISSUE: DRAINAGE OVERFLOW NEAR SCHOOL!!!,drainage_sewage
WATER SHORTAGE PROBLEM NEAR SCHOOL,water_supply
Urgent issue: electric pole issue beside park,streetlight_electrical
Issue of road damage near school,road_pothole
ISSUE OF ILLEGAL CONSTRUCTION BESIDE PARK!!!,illegal_activities
Complaint about low water pressure in colony!!!,water_supply
illegal parking problem near school,illegal_activities
Urgent issue: general issue near school!!!,other
accident risk is causing trouble beside park,traffic_roadsafety
water clogging problem near school,drainage_sewage
Urgent issue: water shortage near hospital!!!,water_supply
Facing electric pole issue beside park,streetlight_electrical
There is water clogging in my area!!!,drainage_sewage
garbage dumping is causing trouble near hospital,garbage_waste
Complaint about bad road condition near office!!!,road_pothole
Facing water clogging near bus stop,drainage_sewage
Please fix street light not working near hospital!!!,streetlight_electrical
TRASH PROBLEM IS CAUSING TROUBLE BESIDE PARK,garbage_waste
drainage overflow problem beside park,drainage_sewage
WIRE PROBLEM PROBLEM IN COLONY,streetlight_electrical
PLEASE FIX PUBLIC PROPERTY DAMAGE NEAR SCHOOL,public_property_damage
COMPLAINT ABOUT DIRTY DRAINAGE IN COLONY,drainage_sewage
There is broken road near bus stop,road_pothole
Please fix sewage problem near market,drainage_sewage
Please fix damaged park near bus stop,public_property_damage
COMPLAINT ABOUT STREET LIGHT NOT WORKING NEAR BUS STOP,streetlight_electrical
Complaint about broken road near market!!!,road_pothole
Facing public property damage on main road!!!,public_property_damage
Issue of water shortage near school,water_supply
Please fix water issue on main road!!!,water_supply
vandalism problem near market,public_property_damage
Complaint about unknown problem near market,other
animal nuisance problem beside park,stray_animals
There is animal nuisance near bus stop,stray_animals
THERE IS DRAINAGE OVERFLOW NEAR MARKET!!!,drainage_sewage
Please fix broken road in my area,road_pothole
FACING ROAD DAMAGE ON MAIN ROAD,road_pothole
CATTLE ON ROAD IS CAUSING TROUBLE NEAR MARKET!!!,stray_animals
Complaint about trash problem in my area!!!,garbage_waste
Complaint about general issue near school!!!,other
FACING DIRTY DRAINAGE BESIDE PARK!!!,drainage_sewage
Facing garbage dumping near office,garbage_waste
Facing dog attack risk near hospital!!!,stray_animals
Issue of illegal construction in colony,illegal_activities
FACING POTHOLE NEAR BUS STOP,road_pothole
CATTLE ON ROAD IS CAUSING TROUBLE NEAR BUS STOP,stray_animals
Please fix broken road near office!!!,road_pothole
COMPLAINT ABOUT ACCIDENT RISK ON MAIN ROAD,traffic_roadsafety
ISSUE OF ILLEGAL CONSTRUCTION ON MAIN ROAD!!!,illegal_activities
Please fix sewage problem on main road,drainage_sewage
FACING ACCIDENT RISK ON MAIN ROAD,traffic_roadsafety
There is vandalism in colony,public_property_damage
URGENT ISSUE: ILLEGAL CONSTRUCTION ON MAIN ROAD,illegal_activities
Please fix traffic jam on main road,traffic_roadsafety
COMPLAINT ABOUT WATER ISSUE IN MY AREA,water_supply
water issue is causing trouble beside park!!!,water_supply
Facing rash driving near market,traffic_roadsafety
FACING BROKEN BENCH BESIDE PARK,public_property_damage
Please fix street light not working near market,streetlight_electrical
electric pole issue problem in my area,streetlight_electrical
Facing cattle on road near school,stray_animals
There is dustbin not cleared beside park!!!,garbage_waste
Complaint about wire problem in my area,streetlight_electrical
Issue of rash driving on main road!!!,traffic_roadsafety
Facing accident risk on main road!!!,traffic_roadsafety
Please fix unknown problem near market,other
FACING BROKEN BENCH BESIDE PARK,public_property_damage
Issue of no water supply near office,water_supply
Complaint about stray dogs near school,stray_animals
Facing stray dogs near school,stray_animals
drainage overflow problem near school,drainage_sewage
Facing unknown problem near hospital,other
RASH DRIVING PROBLEM NEAR HOSPITAL,traffic_roadsafety
animal nuisance is causing trouble near market!!!,stray_animals
There is pothole near bus stop!!!,road_pothole
PLEASE FIX UNAUTHORIZED SHOPS NEAR BUS STOP,illegal_activities
Please fix illegal construction near office!!!,illegal_activities
WATER SHORTAGE IS CAUSING TROUBLE NEAR BUS STOP,water_supply
dog attack risk is causing trouble in my area,stray_animals
Issue of animal nuisance near bus stop!!!,stray_animals
Facing vandalism near market,public_property_damage
DOG ATTACK RISK IS CAUSING TROUBLE NEAR OFFICE,stray_animals
water shortage is causing trouble in my area!!!,water_supply
Complaint about illegal construction near bus stop,illegal_activities
misc issue problem near market!!!,other
rash driving problem beside park,traffic_roadsafety
There is garbage dumping near hospital,garbage_waste
Urgent issue: general issue near bus stop,other
COMPLAINT ABOUT DOG ATTACK RISK IN COLONY,stray_animals
THERE IS CATTLE ON ROAD IN COLONY!!!,stray_animals
URGENT ISSUE: RASH DRIVING NEAR BUS STOP!!!,traffic_roadsafety
Please fix water shortage beside park!!!,water_supply
Urgent issue: pothole on main road!!!,road_pothole
Facing road damage in my area,road_pothole
Complaint about illegal construction near school,illegal_activities
Complaint about unknown problem beside park!!!,other
FACING GARBAGE DUMPING ON MAIN ROAD,garbage_waste
Please fix stray dogs near school,stray_animals
dirty drainage problem near school,drainage_sewage
THERE IS RASH DRIVING NEAR HOSPITAL!!!,traffic_roadsafety
There is power cut near bus stop,streetlight_electrical
URGENT ISSUE: ILLEGAL PARKING ON MAIN ROAD,illegal_activities
Facing unknown problem on main road!!!,other
Complaint about sewage problem near bus stop!!!,drainage_sewage
There is broken bench near bus stop!!!,public_property_damage
THERE IS RASH DRIVING NEAR SCHOOL,traffic_roadsafety
Facing broken bench near market,public_property_damage
Please fix broken bench in my area!!!,public_property_damage
PLEASE FIX MISC ISSUE NEAR OFFICE!!!,other
COMPLAINT ABOUT MISC ISSUE NEAR OFFICE!!!,other
Urgent issue: water shortage in colony,water_supply
road damage is causing trouble near office,road_pothole
There is no water supply on main road,water_supply
FACING ANIMAL NUISANCE NEAR BUS STOP!!!,stray_animals
URGENT ISSUE: ENCROACHMENT NEAR BUS STOP,illegal_activities
Issue of road damage near office,road_pothole
Issue of traffic jam in my area,traffic_roadsafety
WATER CLOGGING PROBLEM NEAR BUS STOP!!!,drainage_sewage
Please fix no signals near school,traffic_roadsafety
Facing accident risk on main road!!!,traffic_roadsafety
ISSUE OF LOW WATER PRESSURE IN MY AREA!!!,water_supply
traffic jam problem near school,traffic_roadsafety
THERE IS POTHOLE IN MY AREA!!!,road_pothole
DOG ATTACK RISK PROBLEM NEAR OFFICE,stray_animals
POTHOLE IS CAUSING TROUBLE NEAR HOSPITAL,road_pothole
There is stray dogs near office,stray_animals
broken bench is causing trouble near office,public_property_damage
PLEASE FIX SEWAGE PROBLEM NEAR BUS STOP,drainage_sewage
Complaint about water issue near school,water_supply
Facing damaged park near market!!!,public_property_damage
no signals problem near bus stop,traffic_roadsafety
THERE IS STREET LIGHT NOT WORKING NEAR SCHOOL,streetlight_electrical
Urgent issue: traffic jam in colony,traffic_roadsafety
general issue is causing trouble near office,other
Please fix damaged park beside park!!!,public_property_damage
Issue of public property damage near bus stop!!!,public_property_damage
ISSUE OF POWER CUT NEAR SCHOOL!!!,streetlight_electrical
sewage problem is causing trouble in my area,drainage_sewage
There is electric pole issue in colony,streetlight_electrical
Urgent issue: water issue near hospital,water_supply
dustbin not cleared problem near hospital,garbage_waste
cattle on road problem in colony,stray_animals
PLEASE FIX WIRE PROBLEM NEAR BUS STOP!!!,streetlight_electrical
There is trash problem near office,garbage_waste
There is rash driving near bus stop,traffic_roadsafety
COMPLAINT ABOUT STREET LIGHT NOT WORKING IN COLONY,streetlight_electrical
THERE IS STREET LIGHT NOT WORKING NEAR SCHOOL,streetlight_electrical
ISSUE OF DRAINAGE OVERFLOW IN COLONY,drainage_sewage
Facing power cut near office,streetlight_electrical
FACING BROKEN BENCH ON MAIN ROAD,public_property_damage
URGENT ISSUE: UNAUTHORIZED SHOPS BESIDE PARK,illegal_activities
no signals problem near market,traffic_roadsafety
Facing illegal construction near hospital,illegal_activities
There is damaged park near office,public_property_damage
THERE IS ROAD DAMAGE BESIDE PARK,road_pothole
Please fix garbage dumping near market,garbage_waste
misc issue is causing trouble on main road,other
Complaint about illegal construction in colony,illegal_activities
COMPLAINT ABOUT POWER CUT IN COLONY!!!,streetlight_electrical
PLEASE FIX DIRTY DRAINAGE BESIDE PARK,drainage_sewage
Urgent issue: wire problem in colony,streetlight_electrical
Urgent issue: general issue in colony,other
dirty drainage problem beside park,drainage_sewage
Urgent issue: water clogging beside park,drainage_sewage
damaged park is causing trouble near hospital,public_property_damage
Urgent issue: dirty drainage in my area!!!,drainage_sewage
THERE IS DIRTY DRAINAGE NEAR HOSPITAL!!!,drainage_sewage
garbage dumping is causing trouble in colony,garbage_waste
Urgent issue: encroachment in my area!!!,illegal_activities
ISSUE OF POWER CUT NEAR HOSPITAL,streetlight_electrical
URGENT ISSUE: DOG ATTACK RISK ON MAIN ROAD,stray_animals
unauthorized shops problem near market,illegal_activities
Please fix sewage problem near office,drainage_sewage
sewage problem problem beside park,drainage_sewage
ISSUE OF GARBAGE DUMPING NEAR BUS STOP,garbage_waste
ISSUE OF TRAFFIC JAM NEAR BUS STOP,traffic_roadsafety
vandalism problem near school,public_property_damage
drainage overflow problem in my area,drainage_sewage
animal nuisance problem near bus stop!!!,stray_animals
FACING DOG ATTACK RISK NEAR OFFICE,stray_animals
accident risk is causing trouble near market,traffic_roadsafety
PLEASE FIX WATER SHORTAGE NEAR HOSPITAL!!!,water_supply
broken bench is causing trouble on main road,public_property_damage
wire problem problem in my area!!!,streetlight_electrical
Please fix unknown problem near bus stop!!!,other
Urgent issue: traffic jam in colony,traffic_roadsafety
Issue of general issue on main road!!!,other
Complaint about cattle on road near hospital,stray_animals
URGENT ISSUE: PUBLIC PROPERTY DAMAGE IN MY AREA,public_property_damage
There is unknown problem in colony!!!,other
There is electric pole issue in my area!!!,streetlight_electrical
DUSTBIN NOT CLEARED PROBLEM NEAR MARKET,garbage_waste
misc issue problem in colony,other
COMPLAINT ABOUT LOW WATER PRESSURE NEAR BUS STOP!!!,water_supply
COMPLAINT ABOUT ROAD DAMAGE NEAR MARKET,road_pothole
broken road is causing trouble near office,road_pothole
Please fix bad road condition on main road!!!,road_pothole
THERE IS STREET LIGHT NOT WORKING NEAR OFFICE,streetlight_electrical
Please fix waste overflow in my area,garbage_waste
Please fix accident risk near office,traffic_roadsafety
COMPLAINT ABOUT BROKEN ROAD BESIDE PARK,road_pothole
ISSUE OF GENERAL ISSUE BESIDE PARK,other
Issue of no signals in colony,traffic_roadsafety
FACING STREET LIGHT NOT WORKING NEAR OFFICE!!!,streetlight_electrical
Issue of broken bench near market!!!,public_property_damage
WASTE OVERFLOW IS CAUSING TROUBLE NEAR HOSPITAL,garbage_waste
water shortage problem near office,water_supply
Please fix drainage overflow near office!!!,drainage_sewage
Issue of traffic jam in colony,traffic_roadsafety
URGENT ISSUE: VANDALISM IN COLONY,public_property_damage
unauthorized shops is causing trouble on main road,illegal_activities
THERE IS DUSTBIN NOT CLEARED ON MAIN ROAD!!!,garbage_waste
Urgent issue: cattle on road in my area,stray_animals
DIRTY DRAINAGE PROBLEM NEAR OFFICE,drainage_sewage
COMPLAINT ABOUT WATER CLOGGING NEAR OFFICE!!!,drainage_sewage
Please fix drainage overflow in my area,drainage_sewage
NO WATER SUPPLY PROBLEM NEAR OFFICE,water_supply
MISC ISSUE IS CAUSING TROUBLE IN COLONY,other
COMPLAINT ABOUT TRASH PROBLEM BESIDE PARK!!!,garbage_waste
FACING ILLEGAL PARKING IN MY AREA,illegal_activities
Please fix illegal construction on main road,illegal_activities
There is general issue beside park!!!,other
ISSUE OF UNKNOWN PROBLEM IN COLONY,other
Please fix power cut near market,streetlight_electrical
Facing dog attack risk near bus stop,stray_animals
Urgent issue: no signals beside park!!!,traffic_roadsafety
Complaint about dirty drainage near school,drainage_sewage
RASH DRIVING PROBLEM NEAR BUS STOP!!!,traffic_roadsafety
vandalism problem near market!!!,public_property_damage
ISSUE OF ELECTRIC POLE ISSUE BESIDE PARK,streetlight_electrical
There is low water pressure near market,water_supply
dog attack risk is causing trouble beside park!!!,stray_animals
Urgent issue: dustbin not cleared in colony,garbage_waste
Please fix electric pole issue near bus stop,streetlight_electrical
drainage overflow problem in my area,drainage_sewage
traffic jam is causing trouble in colony,traffic_roadsafety
sewage problem problem near market!!!,drainage_sewage
STRAY DOGS IS CAUSING TROUBLE BESIDE PARK,stray_animals
Urgent issue: no water supply in colony!!!,water_supply
Issue of waste overflow in colony,garbage_waste
WASTE OVERFLOW IS CAUSING TROUBLE NEAR HOSPITAL,garbage_waste
Issue of general issue on main road,other
drainage overflow is causing trouble near market,drainage_sewage
dirty drainage problem near hospital,drainage_sewage
Urgent issue: wire problem on main road,streetlight_electrical
Issue of unknown problem near office,other
Facing garbage dumping on main road,garbage_waste
Urgent issue: garbage dumping near market!!!,garbage_waste
Please fix drainage overflow in my area!!!,drainage_sewage
electric pole issue is causing trouble on main road,streetlight_electrical
There is misc issue near bus stop,other
ISSUE OF ROAD DAMAGE IN MY AREA,road_pothole
illegal parking problem near hospital,illegal_activities
COMPLAINT ABOUT TRASH PROBLEM IN COLONY,garbage_waste
Urgent issue: sewage problem near school!!!,drainage_sewage
Complaint about accident risk in colony,traffic_roadsafety
no signals problem near market,traffic_roadsafety
Please fix misc issue near school,other
Complaint about illegal construction near hospital,illegal_activities
waste overflow problem in colony,garbage_waste
Please fix encroachment beside park,illegal_activities
There is vandalism near hospital,public_property_damage
Complaint about dirty drainage in colony,drainage_sewage
PLEASE FIX GARBAGE DUMPING BESIDE PARK,garbage_waste
electric pole issue problem near market!!!,streetlight_electrical
Please fix general issue in colony,other
FACING UNKNOWN PROBLEM NEAR HOSPITAL!!!,other
POWER CUT PROBLEM NEAR HOSPITAL,streetlight_electrical
ISSUE OF NO SIGNALS BESIDE PARK,traffic_roadsafety
no water supply problem on main road,water_supply
Complaint about wire problem near market!!!,streetlight_electrical
encroachment problem in my area,illegal_activities
water clogging is causing trouble near office,drainage_sewage
Please fix road damage on main road!!!,road_pothole
Facing encroachment near market,illegal_activities
Facing rash driving near hospital!!!,traffic_roadsafety
Issue of electric pole issue beside park,streetlight_electrical
Complaint about public property damage near bus stop,public_property_damage
Facing illegal construction near market!!!,illegal_activities
There is illegal construction near school!!!,illegal_activities
COMPLAINT ABOUT POWER CUT BESIDE PARK!!!,streetlight_electrical
Facing vandalism near hospital,public_property_damage
ENCROACHMENT IS CAUSING TROUBLE NEAR SCHOOL!!!,illegal_activities
low water pressure problem in my area,water_supply
NO WATER SUPPLY PROBLEM NEAR OFFICE!!!,water_supply
trash problem is causing trouble in colony,garbage_waste
no water supply problem near office,water_supply
PUBLIC PROPERTY DAMAGE PROBLEM IN COLONY!!!,public_property_damage
PLEASE FIX ENCROACHMENT NEAR SCHOOL,illegal_activities
There is bad road condition near market,road_pothole
PLEASE FIX STRAY DOGS NEAR HOSPITAL,stray_animals
THERE IS MISC ISSUE NEAR SCHOOL,other
Complaint about rash driving near market,traffic_roadsafety
ISSUE OF POTHOLE NEAR SCHOOL,road_pothole
Facing power cut near market,streetlight_electrical
NO WATER SUPPLY PROBLEM NEAR BUS STOP!!!,water_supply
BROKEN BENCH IS CAUSING TROUBLE ON MAIN ROAD,public_property_damage
Issue of no water supply near bus stop!!!,water_supply
ISSUE OF GENERAL ISSUE ON MAIN ROAD!!!,other
THERE IS DAMAGED PARK NEAR HOSPITAL,public_property_damage
There is general issue in my area,other
Issue of unknown problem in colony,other
COMPLAINT ABOUT VANDALISM NEAR MARKET,public_property_damage
broken bench problem near hospital,public_property_damage
water clogging problem near hospital,drainage_sewage
Urgent issue: garbage dumping beside park!!!,garbage_waste
encroachment is causing trouble in my area!!!,illegal_activities
PLEASE FIX SEWAGE PROBLEM ON MAIN ROAD,drainage_sewage
There is unknown problem near bus stop,other
Facing sewage problem near office,drainage_sewage
Please fix illegal parking near market,illegal_activities
THERE IS POWER CUT NEAR BUS STOP,streetlight_electrical
general issue is causing trouble near hospital,other
Urgent issue: no water supply in my area,water_supply
Urgent issue: trash problem near hospital,garbage_waste
Complaint about rash driving near office,traffic_roadsafety
Urgent issue: dog attack risk in colony,stray_animals
There is water shortage near market,water_supply
waste overflow is causing trouble near market,garbage_waste
URGENT ISSUE: MISC ISSUE BESIDE PARK,other
Urgent issue: public property damage in colony,public_property_damage
DIRTY DRAINAGE PROBLEM BESIDE PARK!!!,drainage_sewage
Facing illegal construction near office!!!,illegal_activities
Facing water issue near school,water_supply
UNAUTHORIZED SHOPS IS CAUSING TROUBLE NEAR OFFICE,illegal_activities
FACING GARBAGE DUMPING NEAR OFFICE,garbage_waste
Issue of water issue near bus stop,water_supply
Facing damaged park near office!!!,public_property_damage
rash driving is causing trouble beside park!!!,traffic_roadsafety
electric pole issue is causing trouble near market,streetlight_electrical
damaged park is causing trouble in my area!!!,public_property_damage
Complaint about general issue beside park!!!,other
Complaint about road damage near school,road_pothole
Issue of accident risk near hospital,traffic_roadsafety
COMPLAINT ABOUT ROAD DAMAGE IN COLONY,road_pothole
no water supply problem near bus stop,water_supply
unknown problem is causing trouble near school,other
ISSUE OF ROAD DAMAGE IN COLONY,road_pothole
Please fix encroachment on main road,illegal_activities
sewage problem is causing trouble beside park,drainage_sewage
encroachment is causing trouble in colony,illegal_activities
Urgent issue: broken road on main road,road_pothole
COMPLAINT ABOUT GARBAGE DUMPING NEAR MARKET,garbage_waste
Complaint about drainage overflow in my area,drainage_sewage
Issue of broken road in my area,road_pothole
PLEASE FIX WIRE PROBLEM NEAR SCHOOL!!!,streetlight_electrical
electric pole issue is causing trouble near office,streetlight_electrical
URGENT ISSUE: TRAFFIC JAM IN COLONY!!!,traffic_roadsafety
traffic jam is causing trouble on main road!!!,traffic_roadsafety
water shortage problem beside park,water_supply
THERE IS WATER SHORTAGE NEAR SCHOOL,water_supply
Please fix low water pressure in colony,water_supply
Urgent issue: broken bench on main road,public_property_damage
Urgent issue: street light not working beside park!!!,streetlight_electrical
Please fix misc issue in colony,other
water shortage problem near office,water_supply
Complaint about traffic jam near school,traffic_roadsafety
Complaint about dog attack risk near school,stray_animals
There is bad road condition near hospital,road_pothole
There is sewage problem on main road!!!,drainage_sewage
Facing water issue beside park!!!,water_supply
Complaint about low water pressure near market!!!,water_supply
FACING RASH DRIVING NEAR HOSPITAL,traffic_roadsafety
ISSUE OF WATER CLOGGING BESIDE PARK,drainage_sewage
Complaint about drainage overflow in colony,drainage_sewage
Urgent issue: bad road condition near bus stop,road_pothole
PLEASE FIX SEWAGE PROBLEM IN COLONY,drainage_sewage
STRAY DOGS IS CAUSING TROUBLE IN COLONY,stray_animals
ELECTRIC POLE ISSUE PROBLEM NEAR BUS STOP!!!,streetlight_electrical
THERE IS RASH DRIVING ON MAIN ROAD,traffic_roadsafety
traffic jam problem in colony!!!,traffic_roadsafety
Complaint about general issue near office,other
misc issue is causing trouble in my area,other
Urgent issue: cattle on road in colony,stray_animals
THERE IS DUSTBIN NOT CLEARED NEAR OFFICE!!!,garbage_waste
STRAY DOGS IS CAUSING TROUBLE IN MY AREA,stray_animals
Facing broken bench near hospital,public_property_damage
Urgent issue: cattle on road near school,stray_animals
Please fix unknown problem beside park,other
dog attack risk is causing trouble on main road,stray_animals
Issue of low water pressure near school,water_supply
Facing misc issue in my area,other
Please fix pothole in my area,road_pothole
Facing broken road near office,road_pothole
COMPLAINT ABOUT ENCROACHMENT NEAR MARKET,illegal_activities
Urgent issue: road damage in colony!!!,road_pothole
Issue of road damage near hospital!!!,road_pothole
There is sewage problem near school!!!,drainage_sewage
There is drainage overflow near hospital!!!,drainage_sewage
FACING WATER CLOGGING BESIDE PARK,drainage_sewage
Facing power cut beside park,streetlight_electrical
Complaint about damaged park near market,public_property_damage
Facing pothole near hospital,road_pothole
FACING GENERAL ISSUE NEAR OFFICE,other
Please fix road damage in colony,road_pothole
no signals problem near market,traffic_roadsafety
THERE IS VANDALISM NEAR BUS STOP,public_property_damage
URGENT ISSUE: GENERAL ISSUE NEAR OFFICE!!!,other
Facing garbage dumping in colony,garbage_waste
dog attack risk problem near bus stop!!!,stray_animals
Please fix misc issue in colony,other
There is damaged park near school!!!,public_property_damage
Please fix low water pressure near office!!!,water_supply
no signals is causing trouble beside park,traffic_roadsafety
THERE IS MISC ISSUE NEAR BUS STOP!!!,other
Complaint about stray dogs on main road,stray_animals
PLEASE FIX DAMAGED PARK IN COLONY!!!,public_property_damage
Urgent issue: waste overflow near market,garbage_waste
COMPLAINT ABOUT BROKEN BENCH ON MAIN ROAD!!!,public_property_damage
vandalism problem on main road,public_property_damage
Issue of pothole on main road,road_pothole
COMPLAINT ABOUT GARBAGE DUMPING IN MY AREA,garbage_waste
There is no signals beside park,traffic_roadsafety
There is misc issue near office!!!,other
GARBAGE DUMPING IS CAUSING TROUBLE NEAR HOSPITAL,garbage_waste
ISSUE OF DAMAGED PARK NEAR BUS STOP,public_property_damage
Urgent issue: power cut near office,streetlight_electrical
water issue problem on main road,water_supply
ISSUE OF WATER SHORTAGE ON MAIN ROAD,water_supply
There is broken road near office!!!,road_pothole
There is illegal parking near market,illegal_activities
Issue of garbage dumping near office,garbage_waste
WATER SHORTAGE PROBLEM NEAR HOSPITAL,water_supply
There is road damage near bus stop!!!,road_pothole
URGENT ISSUE: DAMAGED PARK IN MY AREA!!!,public_property_damage
Facing unknown problem near bus stop,other
Complaint about misc issue beside park,other
Urgent issue: encroachment near school!!!,illegal_activities
Issue of cattle on road beside park,stray_animals
PLEASE FIX VANDALISM NEAR OFFICE,public_property_damage
WASTE OVERFLOW IS CAUSING TROUBLE NEAR BUS STOP!!!,garbage_waste
